,start_verse_num,end_verse_num,start_verse,end_verse,avg_embedding
34,1130,1144,2 Nephi 22 1,2 Nephi 23.9,"[-0.03151364 -0.03152106 -0.03153981 -0.03153047 -0.03153045 -0.03152737
 -0.03154767 -0.03154302 -0.03152789 -0.03151663 -0.03152307 -0.03154442
 -0.03152604 -0.03153157 -0.03152052]"
35,1144,1145,2 Nephi 23 9,2 Nephi 23.10,[-0.03152052 -0.03158112]
36,1145,1172,2 Nephi 23 10,2 Nephi 24.15,"[-0.03158112 -0.03155083 -0.03155757 -0.03152965 -0.03152209 -0.03151801
 -0.03154697 -0.03156707 -0.03151911 -0.03155313 -0.03157503 -0.03153038
 -0.03153972 -0.03153083 -0.03151893 -0.03153677 -0.03154947 -0.03152979
 -0.031539   -0.03155334 -0.03155409 -0.03152241 -0.03152116 -0.03155433
 -0.03154052 -0.0315655  -0.031544   -0.03152673]"
37,1172,1173,2 Nephi 24 15,2 Nephi 24.16,[-0.03152673 -0.03157213]
38,1173,1242,2 Nephi 24 16,2 Nephi 26.23,"[-0.03157213 -0.0315441  -0.03155473 -0.03151577 -0.03149778 -0.03154389
 -0.03152076 -0.03151662 -0.03153383 -0.03151851 -0.03158355 -0.03156446
 -0.03156727 -0.03156854 -0.03152531 -0.03148207 -0.03154487 -0.03155992
 -0.03153992 -0.03154555 -0.0315532  -0.03149887 -0.0315326  -0.0315539
 -0.03156708 -0.03154307 -0.03153396 -0.03156086 -0.03155169 -0.03156762
 -0.03154222 -0.03150969 -0.03155426 -0.03155527 -0.03154206 -0.0315493
 -0.03154537 -0.03156146 -0.03156011 -0.03155341 -0.03152466 -0.0314882
 -0.03153685 -0.03154154 -0.03154559 -0.03154908 -0.03154257 -0.03153063
 -0.03153857 -0.03154707 -0.03152312 -0.03153388 -0.03151468 -0.03153423
 -0.03154309 -0.03153393 -0.03157413 -0.03154314 -0.0315783  -0.03159197
 -0.03152588 -0.03154745 -0.03154493 -0.0315424  -0.03156346 -0.03152639
 -0.03156053 -0.03152772 -0.03154486 -0.03153188]"
39,1242,1303,2 Nephi 26 23,2 Nephi 28.16,"[-0.03153188 -0.03156898 -0.03157877 -0.03149797 -0.0315357  -0.03155782
 -0.03151707 -0.03153639 -0.03154257 -0.03155734 -0.03154547 -0.0315413
 -0.03151865 -0.03152833 -0.0315313  -0.03150482 -0.03153731 -0.03154329
 -0.03152877 -0.03154179 -0.03154244 -0.0315356  -0.03154704 -0.03152472
 -0.03153819 -0.03157278 -0.03154778 -0.03155969 -0.03156627 -0.0315539
 -0.03159519 -0.03152896 -0.03156358 -0.03156744 -0.03156595 -0.03150897
 -0.03153189 -0.03152214 -0.03153962 -0.03153122 -0.03153568 -0.031545
 -0.03154152 -0.03154692 -0.031545   -0.03154861 -0.03155535 -0.03152251
 -0.03151665 -0.03152123 -0.03153694 -0.03158071 -0.03151494 -0.03157266
 -0.03148193 -0.03154218 -0.03157601 -0.03154436 -0.03157104 -0.03152462
 -0.0315799  -0.03158618]"
40,1303,1304,2 Nephi 28 16,2 Nephi 28.17,[-0.03158618 -0.03158074]
41,1304,1315,2 Nephi 28 17,2 Nephi 28.28,"[-0.03158074 -0.03153488 -0.03154777 -0.03152761 -0.0315508  -0.03156204
 -0.0315407  -0.03156242 -0.03153517 -0.0314847  -0.0315212  -0.03154462]"
42,1315,1316,2 Nephi 28 28,2 Nephi 28.29,[-0.03154462 -0.03154586]
43,1316,1359,2 Nephi 28 29,2 Nephi 31.8,"[-0.03154586 -0.03157975 -0.03152865 -0.03156283 -0.03152725 -0.03155457
 -0.03154952 -0.03152122 -0.03153427 -0.03155927 -0.03157714 -0.03154674
 -0.03158144 -0.03155068 -0.03160062 -0.03153963 -0.0315339  -0.03154409
 -0.03153428 -0.03153757 -0.03157253 -0.03154455 -0.03153808 -0.03153509
 -0.03153319 -0.03154278 -0.03155564 -0.03152069 -0.03156423 -0.03154008
 -0.03155958 -0.03155794 -0.03154864 -0.03152285 -0.03156697 -0.03156681
 -0.03156691 -0.03155301 -0.03154269 -0.03154157 -0.03153539 -0.03155586
 -0.03156396 -0.0315379 ]"
